日付,担当者名,アカウントID,顧客名,業種,営業方法,ステータス,先方担当者,電話番号,メモ
2025/11/05,Ishiguro Anna,k.00027,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,kumiko_sand,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,naokinakashima,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,riku_hatano_415,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,iwawi_k,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,lea_kogure,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,minx_kimata,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,shea.sato,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,seiyaiida76,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,hiru_minx,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,takeda_evri,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,narita.man,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,taku_nakauchi,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,petz_norico,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,mutsuki_luna,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,asaka_yuki,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,genie_shingo_ones,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,nara__purple,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,_forte_mi26,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,egu_1209,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,maru_aoi,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,hiyori_nishimura_,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,kaho_ohasi,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,liichi_yin,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,12s__yu,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,mumps__seina,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,myu00___,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,navile_yuma,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,yu_ya_hair,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,na.de.shi.ko,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,fuchigami_izumi,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,ngm_kitao,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,otsuki1103,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,simple_and2023,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,retonhair,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,__arisa12,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,__chill.privatesalon__,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,les_joyeux_comperes,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,aeru_0401,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,asan.asami,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,kaori_nurse_beautycare,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,blange_flowersalon,,有形商材,DM,未返信,,,
2025/11/05,Kim Jeyi,cake_hms,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,le_salon_des_reves,,有形商材,DM,未返信,,,
2025/11/05,Kim Jeyi,akko_inoue,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,custom_fit_gym4_5,,無形商材,DM,未返信,,,
2025/11/05,Kim Jeyi,churan_miyakojima,,無形商材,DM,未返信,,,
2025/11/05,Kim Jeyi,greful.sinkyusekkotsuin,,無形商材,DM,未返信,,,
2025/11/05,Kim Jeyi,kyoto_sakurai,,無形商材,DM,未返信,,,
2025/11/05,Kim Jeyi,onaoshi_ikuchan,,その他,DM,未返信,,,
2025/11/05,Kim Jeyi,kabetchi.clean,,その他,DM,未返信,,,
2025/11/05,Kim Jeyi,ruru_faden920,,有形商材,DM,未返信,,,
2025/11/05,Kim Jeyi,narumi_shokudou,,飲食店,DM,未返信,,,
2025/11/05,Kim Jeyi,stitchhouse3211,,有形商材,DM,未返信,,,
2025/11/05,Kim Jeyi,fh_itakura,,その他,DM,未返信,,,
2025/11/05,Kim Jeyi,overdo_hokkaido,,その他,DM,未返信,,,
2025/11/05,Kim Jeyi,tsunagune_cafe,,飲食店,DM,未返信,,,
2025/11/05,Kim Jeyi,nissinhome_sasebo,,その他,DM,未返信,,,
2025/11/05,Kim Jeyi,neo_house_,,その他,DM,未返信,,,
2025/11/05,Kim Jeyi,aimeracret_osaka,,有形商材,DM,未返信,,,
2025/11/05,Ishiguro Anna,ageha_cinq,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,chiaki__1022,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,misa_apish,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,doctor_kanai,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,824_yamato,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,megumi_yaginuma,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,sayaka_fuw_eyebrow,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,mimitubo.naru,,美容サロン,DM,未返信,,,
2025/11/05,Ishiguro Anna,misaki.eyebrows,,美容サロン,DM,未返信,,,
2025/11/05,Yamashita Minami,better_kaito,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,noza_hiroyuki_hair,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,masato_lim,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,kenichi_oyama_,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,yuki___yamada,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,uni_tesun_178,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,uni._.t_a_k_e_r_u__,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,neit_jun,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,longhair_saito,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,keisuke_abbey,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,takumi_platina,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,_nobeashi_,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,mitsuyu_iki,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,tomoya.shibata_,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,sota.abbey,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,yuma0629,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,hiroki_okawa,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,abbey_tachi,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,log_ryotakahashi,,美容サロン,,未返信,,,
2025/11/05,Yamasaki Miyu,exelcodiamond_official,,有形商材,,未返信,,,
2025/11/05,Yamasaki Miyu,ith_marriage,アーツアンドクラフツ株式会社,有形商材,フォーム,未返信,,,
2025/11/05,Yamasaki Miyu,dolce._.photography,,有形商材,電話,未返信,,,
2025/11/05,Yamasaki Miyu,studiokoara_nabari,,有形商材,電話,未返信,,,
2025/11/05,Yamasaki Miyu,happy_photo_studio,,有形商材,電話,未返信,,,
2025/11/05,Yamashita Minami,tanaka.skin,,美容サロン,電話,未返信,,,
2025/11/05,Yamashita Minami,kisui_clinic,,美容サロン,電話,未返信,,,
2025/11/05,Yamashita Minami,koizumikeiseiclinic,,美容サロン,電話,未返信,,,
2025/11/05,Yamashita Minami,miizh_rv,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,hikaru_0019,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,aren.nodera,,美容サロン,,未返信,,,aren.nodeから変更？
2025/11/05,Yamashita Minami,ryosei_fujishima,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,slmss_18,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,ryuya_takenouchi,,美容サロン,,未返信,,,
2025/11/05,Yamashita Minami,rintaro_sato0,,美容サロン,,未返信,,,
2025/11/05,Ishiguro Anna,michi.maintenance,,無形商材,電話,未返信,,,
2025/11/05,Ishiguro Anna,iyashima_senka_,,無形商材,電話,未返信,,,
2025/11/05,Ishiguro Anna,rean.2426,,無形商材,電話,未返信,,,
2025/11/05,Ishiguro Anna,kuronekoheddo,,無形商材,電話,未返信,,,
2025/11/05,Ishiguro Anna,relief326,,無形商材,電話,未返信,,,
2025/11/05,Kim Jeyi,icoia_hair,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,hairsalon._teteo,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,hair_care_salon_silk,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,oph_610,,有形商材,LINE,未返信,,,
2025/11/05,Kim Jeyi,loca_naho,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,butter_hair.salon,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,atelierhairart,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,firm_kestra_kai,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,three_iyosaijo,,美容サロン,LINE,未返信,,,
2025/11/05,Kim Jeyi,coiffeursoleil,,美容サロン,DM,未返信,,,
2025/11/05,Kim Jeyi,hair_salon.shu,,美容サロン,LINE,未返信,,,