2023（令和5年）,,,,,,,,,,,,,
月,10,11,12,1,2,3,4,5,6,7,8,9,2023年度合計
口座振込,,,,,,,,,,,,"3,331,100","3,331,100"
PayPay,,,,,,,,,,,,"62,700","62,700"
PayPal,,,,,,,,,,,,"806,300","806,300"
PayPal手数料,,,,,,,,,,,,"33,417",33417
strip,,,,,,,,,,,,"93,842","93,842"
strip手数料,,,,,,,,,,,,"11,428","11,428"
strip1,,,,,,,,,,,,0,0
strip1手数料,,,,,,,,,,,,0,0
ココナラ,,,,,,,,,,,,0,0
売上高,,,,,,,,,,,,"4,338,787","4,338,787"
手数料,,,,,,,,,,,,"44,845","44,845"
売上総利益,,,,,,,,,,,,"4,293,942","4,293,942"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2024（令和6年）,,,,,,,,,,,,,
月,10,11,12,1,2,3,4,5,6,7,8,9,2024年度合計
口座振込,"500,000","2,594,800","720,387","1,472,400","1,797,300","1,845,200","1,709,400","3,685,600","1,901,300","2,208,100","2,865,800","3,446,500","24,746,787"
PayPay,"159,500","130,900","212,300","248,600","77,000","93,500","28,600","176,400","88,000","157,300","84,800","137,300","1,594,200"
PayPal,"394,900","946,846","1,092,300","902,000","842,600","1,128,600","561,347","1,019,700","930,600","953,700","292,600","151,800","9,216,993"
PayPal手数料,"18,580","84,226","42,202","35,596","33,452","43,946",40888,"38,974","36,450","37,892","13,039","9,158","434,403"
strip,"657,800","1,043,905","928,403","1,059,300","1,037,300","960,300","1,093,400","1,443,700","917,400","1,500,400","2,469,500","2,723,600","15,835,008"
strip手数料,"29,034","38,320","33,908","51,370","38,784","35,759","40,587","112,005","34,318","74,304","93,377","103,554","685,320"
strip1,"2,924","2,921","10,041","171,153","1,475","1,631","1,485","1,545","1,577","74,584","906,099","4,184","1,179,619"
strip1手数料,"3,029","1,609",361,"160,315",53,"1,724",58,56,57,"2,677","41,795","3,212","214,946"
ココナラ,"140,670","448,690","364,080","147,047","236,465","639,671","205,678","498,128",0,0,0,0,"2,680,429"
売上高,"1,906,437","5,292,217","3,403,982","4,247,781","4,064,429","4,750,331","3,681,443","6,976,108","3,909,702","5,008,957","6,767,010","6,579,308","56,587,705"
手数料,"50,643","124,155","76,471","247,281","72,289","81,429","81,533","151,035","70,825","114,873","148,211","115,924","1,334,669"
売上総利益,"1,855,794","5,168,062","3,327,511","4,000,500","3,992,140","4,668,902","3,599,910","6,825,073","3,838,877","4,894,084","6,618,799","6,463,384","55,253,036"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2025（令和7年）,,,,,,,,,,,,,
月,10,11,12,1,2,3,4,5,6,7,8,9,2025年度合計
口座振込,"2,610,800","4,472,500","4,535,100","4,451,600","4,575,133","4,462,461","3,818,600","3,882,620","4,264,600","3,650,800","5,174,849","5,539,200","51,438,263"
PayPay,"285,870","126,500","109,450","50,050","157,300","105,630","107,800","108,670","61,600","137,900","261,680","156,800","1,669,250"
PayPal,"299,200","223,919","192,500","194,462","194,700","138,600","163,900","185,922","151,800","139,100","166,100","209,000","2,259,203"
PayPal手数料,"14,043","15,157","9,672","9,278","10,509","7,845","8,398","9,793","7,743","7,592","8,723","10,704","119,457"
strip,"3,357,200","2,678,500","3,264,800","4,996,200","4,951,100","3,569,500","3,670,700","2,429,900","4,947,800","3,099,800","4,547,400","3,961,100","45,474,000"
strip手数料,"128,178","102,142","126,972","196,913","614,004","755,536","348,185","448,547","187,148","113,898","167,006","144,335","3,332,864"
strip1,"59,222","86,010","145,138","54,697","5,863","30,909","19,607","42,392","35,346","41,726","108,504","86,828","716,242"
strip1手数料,"60,465","55,431","5,225","1,968",211,"1,112",706,"1,527","1,272","1,502","3,905","3,169","136,493"
ココナラ,0,0,"897,025",0,0,0,0,0,0,"505,076","555,829","847,120","2,805,050"
売上高,"6,814,978","7,760,159","9,285,882","9,955,168","10,508,820","9,071,593","8,137,896","7,109,371","9,657,309","7,697,394","10,993,996","10,958,256","107,950,822"
手数料,"202,686","172,730","141,869","208,159","624,724","764,493","357,289","459,867","196,163","122,992","179,634","158,208","3,588,814"
売上総利益,"6,612,292","7,587,429","9,144,013","9,747,009","9,884,096","8,307,100","7,780,607","6,649,504","9,461,146","7,574,402","10,814,362","10,800,048","104,362,008"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2026（令和8年）,,,,,,,,,,,,,
月,10,11,12,1,2,3,4,5,6,7,8,9,2026年度合計
口座振込,"4,949,307",,,,,,,,,,,,"4,949,307"
PayPay,"131,300",,,,,,,,,,,,"131,300"
PayPal,"119,900",,,,,,,,,,,,"119,900"
PayPal手数料,"6,586",,,,,,,,,,,,"6,586"
strip,"3,240,600",,,,,,,,,,,,"3,240,600"
strip手数料,"119,555",,,,,,,,,,,,"119,555"
strip1,"439,661",,,,,,,,,,,,"439,661"
strip1手数料,"15,825",,,,,,,,,,,,"15,825"
ココナラ,"576,370",,,,,,,,,,,,"576,370"
売上高,"9,599,104",0,0,0,0,0,0,0,0,0,0,0,"9,599,104"
手数料,"141,966",0,0,0,0,0,0,0,0,0,0,0,"141,966"
売上総利益,"9,457,138",0,0,0,0,0,0,0,0,0,0,0,"9,457,138"